Date,NVDA_Open,NVDA_Low,NVDA_Close,NVDA_AdjClose,MSFT_Open,MSFT_High,MSFT_Low,MSFT_AdjClose,GOOGL_Open,GOOGL_Low,GOOGL_Close,GOOGL_AdjClose,Gold_open,Gold_high,Gold_low,SP500_open,SP500_high,NASDAQ_open,NASDAQ_high,NASDAQ_low,NASDAQ_close,FTSE100_Price,FTSE100_High,STOXX_High,STOXX_Low,STOXX_Close,STOXX_AdjClose,NSEI_Open,NSEI_Close,NSEI_AdjClose,N225_Open,N225_High,N225_Low,N225_Close,N225_AdjClose,HSI_Open,HSI_Low,HSI_Close,HSI_AdjClose,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_AdjClose,USD_GBP_Open,USD_GBP_Low,USD_EUR_Low,USD_EUR_Close,USD_EUR_AdjClose
2013-02-14,0.305,0.30125,0.31825,0.293791,27.92,28.059999,27.870001,22.834305,19.512762,19.463715,19.715216,19.692616,1641.09997558594,1646.90002441406,1632.69995117188,1520.33,1523.14,2760.1201,2776.49,2759.74,2771.4299,6327.36,6364.72,2666.25,2625.909912,2635.350098,2635.0,5933.200195,5896.950195,5897,11273.400391,11356.540039,11243.490234,11307.280273,11307.0,23460.310547,23300.599609,23413.25,23413,16.59,16.844286,16.572144,16.663929,14,0.6438,0.6433,0.7432,0.7438,0.7438
2013-02-15,0.3175,0.31125,0.31825,0.293791,28.040001,28.16,27.879999,22.809877,19.704704,19.696445,19.842093,19.819345,1633.19995117188,1633.90002441406,1599.5,1521.38,1524.24,2772.5601,2779.0701,2756.4299,2764.6699,6328.26,6352.2,2642.949951,2615.26001,2615.26001,2615.0,5869.950195,5887.399902,5887,11239.209961,11261.580078,11065.05957,11173.830078,11174.0,23315.410156,23284.050781,23444.560547,23445,16.744642,16.79143,16.425714,16.434286,14,0.6457,0.64309,0.746826,0.7489,0.7489
2013-02-19,0.3185,0.312,0.314,0.289867,27.879999,28.09,27.799999,23.031574,19.91967,19.901901,20.191441,20.168293,1610.0,1617.0,1599.69995117188,1519.79,1530.9399,2770.7,2782.8601,2766.8601,2782.8601,6379.07,6385.14,2664.5,2611.01001,2662.370117,2662.0,5900.200195,5939.700195,5940,11336.450195,11412.860352,11336.450195,11372.339844,11372.0,23368.220703,23139.080078,23143.910156,23144,16.467857,16.526072,16.208929,16.428213,14,0.6461,0.645,0.747831,0.74922,0.74922
2013-02-20,0.315,0.3085,0.3095,0.285713,28.129999,28.200001,27.83,22.88377,20.152653,19.814566,19.831331,19.808598,1604.69995117188,1606.90002441406,1561.80004882812,1530.9399,1530.9399,2781.0,2782.45,2739.27,2739.99,6395.37,6412.44,2670.689941,2634.389893,2640.350098,2640.0,5966.299805,5943.049805,5943,11485.650391,11510.519531,11440.099609,11468.280273,11468.0,23310.929688,23163.859375,23307.410156,23307,16.346071,16.346071,16.02857,16.030357,14,0.6482,0.64729,0.74438,0.7465,0.7465
2013-02-21,0.309,0.3065,0.30725,0.283636,27.74,27.74,27.23,22.571766,19.969971,19.800301,19.908157,19.885336,1568.5,1581.19995117188,1555.19995117188,1511.95,1511.95,2730.1001,2731.25,2700.3201,2711.51,6291.54,6395.37,2629.620117,2579.679932,2579.76001,2580.0,5909.649902,5852.25,5852,11404.730469,11442.110352,11301.769531,11309.129883,11309.0,23026.179688,22828.169922,22906.669922,22907,15.928571,16.041786,15.815,15.930714,14,0.6566,0.6548,0.7525,0.7534,0.7534
2013-02-22,0.30925,0.3075,0.313,0.288944,27.68,27.76,27.48,22.793451,20.001501,19.864864,20.012762,19.98982,1580.0,1585.40002441406,1572.40002441406,1502.42,1515.64,2726.27,2737.28,2715.47,2737.28,6335.7,6347.25,2630.459961,2590.02002,2630.050049,2630.0,5837.950195,5850.299805,5850,11238.75,11390.650391,11175.669922,11385.94043,11386.0,22840.320313,22674.589844,22782.439453,22782,16.044643,16.128571,15.95,16.100357,14,0.6552,0.6529,0.755099,0.7579,0.7579
2013-02-25,0.31375,0.307,0.3075,0.283867,27.969999,28.049999,27.370001,22.473228,20.077578,19.782032,19.78904,19.766354,1579.40002441406,1596.0,1577.69995117188,1515.6,1525.84,2756.1899,2763.96,2700.97,2700.97,6355.37,6390.09,2699.949951,2633.949951,2651.860107,2652.0,5870.549805,5854.75,5855,11564.549805,11662.519531,11562.099609,11662.519531,11663.0,22852.890625,22777.630859,22820.080078,22820,16.208929,16.254286,15.806071,15.814286,14,0.6624,0.6595,0.7512,0.75781,0.75781
2013-02-26,0.30625,0.30525,0.30925,0.287234,27.379999,27.6,27.34,22.473228,19.894896,19.629629,19.773024,19.750357,1593.30004882812,1615.19995117188,1589.0,1487.85,1498.99,2708.8,2718.0601,2689.8301,2713.02,6270.44,6355.37,2619.889893,2566.870117,2570.52002,2571.0,5838.299805,5761.350098,5761,11449.660156,11520.240234,11374.830078,11398.80957,11399.0,22639.970703,22510.759766,22519.689453,22520,15.850714,16.126429,15.630714,16.034643,14,0.65938,0.65703,0.76243,0.7654,0.7654
2013-02-27,0.30925,0.3085,0.315,0.292575,27.42,28.0,27.33,22.834513,19.889891,19.797548,20.014515,19.991571,1612.80004882812,1612.80004882812,1591.80004882812,1496.9399,1520.08,2714.45,2757.6101,2710.1899,2741.26,6325.88,6335.9,2612.0,2563.639893,2611.889893,2612.0,5784.899902,5796.899902,5797,11418.55957,11419.620117,11253.969727,11253.969727,11254.0,22656.400391,22445.339844,22577.009766,22577,16.015356,16.158571,15.7375,15.8775,14,0.6609,0.65838,0.76184,0.76535,0.76535
2013-02-28,0.314,0.31275,0.3165,0.293968,27.879999,27.969999,27.74,22.826294,20.047548,20.045795,20.050051,20.027065,1596.0,1601.59997558594,1575.09997558594,1515.99,1525.34,2742.3799,2761.28,2738.22,2738.5801,6360.81,6372.0,2637.699951,2609.22998,2633.550049,2634.0,5834.350098,5693.049805,5693,11396.730469,11563.75,11392.55957,11559.360352,11559.0,22826.419922,22734.839844,23020.269531,23020,15.858929,15.995357,15.764286,15.764286,14,0.6593,0.6573,0.759878,0.7604,0.7604
